name,cuisine,price,rating,url,hours,contact,reservation_needed,queue_time,tags,notes
示例餐厅,中餐,¥50-100,4.5,https://example.com,周一-周日 11:00-21:00,0512-12345678,否,10-20分钟,平价小吃,示例条目：这是一个用来展示 CSV 格式的示例行。
豌豆花开文星店,中餐,¥13-30,5.0,https://surl.amap.com/cyKzztUx8yD,周一-周日 8:00-22:00,0512-62817117 18068448817,否,5-20分钟,平价小吃,回国必吃 推荐凉面
地锅居（翰林邻里中心店）,中餐,¥54,4.6,https://surl.amap.com/22vNFxRE1vv,周五 11:00-14:00;16:30-21:30;周六-周日 11:00-14:30;16:00-21:30;周三-周四 11:00-14:00;16:00-21:30,18952405766,否,5-20分钟,平价小吃,必点地锅鸡
小海鲜大排档,海鲜,¥100-150,4.8,https://surl.amap.com/ds0meG211gIQ,4:30-2:00,15784506296,否,15-30分钟,海鲜餐厅,椒盐皮皮虾
阿泰藏书羊肉•小龙虾•烧烤,烧烤/烤肉,¥50-100,4.6,https://surl.amap.com/dwB9pJA137hU,10:00-2:00,17201997254,否,5-10分钟,烧烤,羊肉串 小龙虾🦞建议团购
重庆鸡公煲川味烤鱼(文荟广场店),火锅,¥42/人,4.1,https://surl.amap.com/dA53Avc17gLt,9:30-23:30,15784601495,否,5-20分钟,火锅鸡,鸡公煲
文景夜市,夜市小吃,¥10-30,4.6,https://surl.amap.com/dM93aF8sbnb,16:00-22:00,NULL,否,15-15分钟,夜市小吃,夜市美食
文缘夜市,夜市小吃,¥19/人,4.7,https://surl.amap.com/bRYe8FYGfEX,20:00-4:00,NULL,否,15-15分钟,夜市小吃,夜市美食
食在湘概念湘菜,中餐,¥55/人,4.6,https://surl.amap.com/bkqkGmSDahG,10:00-22:00,17895067596,否,10-20分钟,平价小吃,剁椒鱼头
孚味浅草日本料理(翰林店),日韩料理,¥77/人,4.6,https://surl.amap.com/diB7zem1s1zk,9:00-14:00;16:00-21:00,17201945627,否,10-20分钟,日本料理,三文鱼手握🍣和香芒鹅肝
狗喜头鱼头,中餐,¥83/人,4.5,https://surl.amap.com/dpsHtlItfzC,11:00-14:00;17:00-22:30,15784506296,否,10-20分钟,中餐,红烧鱼头
十三朝手擀爆肚面,中餐,¥20/人,4.7,https://surl.amap.com/5PQXkiS1A4OA,10:30-21:00,13584888317,否,5-20分钟,平价小吃,爆肚面
大铭油边王,烧烤/烤肉,¥74/人,4.7,https://surl.amap.com/dvvDAse1d5g7,17:30-1:00,NULL,否,5-10分钟,烧烤,油边 凉面
金山小馆(中海双湾花园店),中餐,¥78/人,4.7,https://surl.amap.com/g1JkCFUi6aG,24h营业,17201996948,否,10-20分钟,中餐,特色烤鱼 招牌牛蛙 麻辣猪蹄锅
山中无老虎·鱼蛙火锅(尹山湖店),火锅,¥71/人,4.6,https://surl.amap.com/f1RdivMzcdn,10:30-13:30;16:30-24:00,1780441270,否(可订座),5-20分钟,火锅,鱼蛙火锅
小天同学炭火厨房,日韩料理,¥80/人,4.7,https://surl.amap.com/hC5rtcq1j6GE,17:00-01:00,15784509383,否(可订座),5-20分钟,日式烧鸟,和牛泡菜锅
李呱呱重庆火锅(尹山湖店),火锅,¥99/人,4.5,https://surl.amap.com/fby0nNE1obGR,11:00-14:00;16:00-2:00,13063738919,否(可订座),5-20分钟,火锅,重庆火锅
噶闹棒铁锅豆花牛肉,夜市小吃,¥82/人,4.5,https://surl.amap.com/bR4aG5o1m7Bd,10:00-14:00;16:30-24:00,15151659564,否,5-20分钟,豆花/豆腐脑,铁锅豆花牛肉
洪海农家炒鸡店(江苏吴中大厦店),中餐,¥76/人,4.7,https://surl.amap.com/5FEqN2K51r8,8:00-22:00,15784502092,否(可订座),20分钟,鲁菜,招牌辣子鸡
韦记顺德大排档(娄葑店),中餐,¥114/人,4.8,https://surl.amap.com/gKq9iEOrfbl,11:00-14:00;17:00-24:00,17895067552,否,5-20分钟,粤菜,干蒸排骨 干蒸仔排
湘赣风味小厨(娄葑店),中餐,¥73/人,4.6,https://surl.amap.com/3XPOxuC1qao0,10:30-14:00;16:30-22:30,18658751269,否,5-20分钟,江西菜,江西炒粉 萍乡小炒肉 跳跳鱼
春林龙虾馆·藏书羊肉·烧烤川湘菜·宵夜·20年老店(娄葑店),中餐,¥75/人,4.7,https://surl.amap.com/3YprGc6X8Hg,NULL,15784501845,否,5-20分钟,藏书羊肉·烧烤川湘菜·宵夜,藏书羊肉 龙虾🦞
徐州老院子全羊馆(娄葑店),中餐,¥72/人,4.6,https://surl.amap.com/43FxCa21u7OW,10:30-13:30;16:30-22:00,15784502162,否,5-20分钟,徐州菜,彭城味道 老院子地锅鸡 羊肉包子 手抓羊排
盖饭邦·长沙菜馆(苏州首店·苏州中心),中餐,¥78/人,4.6,https://surl.amap.com/1C263iC4dO2,10:00-21:00,17201945870,否(可订座),5-30分钟,长沙菜,小炒黄牛肉 辣椒炒肉
姚稷大铁锅(莫邪店),中餐,¥76/人,4.8,https://surl.amap.com/6rcP2RoFev4,10:30-14:00;16:30-24:00,17201977949,否,5-20分钟,东北菜,铁锅炖大鸡 大拉皮
德天雪花肥牛海鲜火锅(吴中店),火锅,¥107/人,4.7,https://surl.amap.com/4iD3eKW47Ki,9:00-21:00,17201977574,否(可订座),5-20分钟,海鲜🦞火锅🍲,雪花肥牛 鲜毛肚 手打鲜虾滑
飞拳特攻,夜市小吃,¥62/人,4.8,https://surl.amap.com/4lL42oC1gfmO,11:30-15:30;16:30-1:30,15784502056,否,5-20分钟,串串,冒脑花 血旺 冒肥牛
乌鹊时肆·Bistro醉鸡煲,中餐,¥104/人,4.6,https://surl.amap.com/4nGU8mWJ6nd,11:00-24:00,17768097415,否,5-20分钟,苏菜,拉丝豆乳米麻薯 盐烤青花鱼
哑巴生煎(临顿路店),中餐,¥28/人,4.7,https://surl.amap.com/mbIenWGc5og,6:30-19:30,NULL,否,5-20分钟,生煎,生煎 牛肉粉丝汤
呔破·四川泥锅涮串(苏州首店),夜市小吃,¥69/人,4.8,https://surl.amap.com/ezK8RT8i7dX,11:30-01:00,17201945363,否(可订座),5-20分钟,四川火锅,香菜牛肉 麻辣牛肉 泡椒牛肉
王烤烤火盆牛肉(苏州总店),烧烤/烤肉,¥71/人,4.8,https://surl.amap.com/gumt9jI1yc01,10:00-02:00,15784505884,否(可订座),5-20分钟,烤肉,牛肉 酸菜 烤胸口油
玖泉里烤肉,烧烤/烤肉,¥86/人,4.9,https://surl.amap.com/4e4Bxbst3ak,10:30-06:00,1578509650,否(可订座),5-20分钟,烤肉,牛肉五花 年糕拼盘 炸绍兴臭豆腐
裕面堂·红尘首驿(山塘店),中餐,¥72/人,4.8,https://surl.amap.com/1f9e11E31QK,8:00-14:00;17:00-20:00,17201945112,否,5-20分钟,苏州面,三虾面套餐单人餐
Mokpo(苏州万象天地),日韩料理,¥140/人,4.6,https://surl.amap.com/bj8uONsMdN3,11:00-14:00;16:30-21:30,17895068002,否(可订座),10-30分钟,韩餐,牛仔骨 五花肉
三星羊肉馆,中餐,¥75/人,4.8,https://surl.amap.com/5FprtLM77AD,10:00-20:30,15784505886,否(可订座),5-20分钟,藏书羊肉,羊肉锅仔
